Nome_Município,Nome_UF,Código Município Completo
Alta Floresta D'Oeste,Rondônia,1100015
Alto Alegre dos Parecis,Rondônia,1100379
Alto Paraíso,Rondônia,1100403
Alvorada D'Oeste,Rondônia,1100346
Ariquemes,Rondônia,1100023
Buritis,Rondônia,1100452
Cabixi,Rondônia,1100031
Cacaulândia,Rondônia,1100601
Cacoal,Rondônia,1100049
Campo Novo de Rondônia,Rondônia,1100700
Candeias do Jamari,Rondônia,1100809
Castanheiras,Rondônia,1100908
Cerejeiras,Rondônia,1100056
Chupinguaia,Rondônia,1100924
Colorado do Oeste,Rondônia,1100064
Corumbiara,Rondônia,1100072
Costa Marques,Rondônia,1100080
Cujubim,Rondônia,1100940
Espigão D'Oeste,Rondônia,1100098
Governador Jorge Teixeira,Rondônia,1101005
Guajará-Mirim,Rondônia,1100106
Itapuã do Oeste,Rondônia,1101104
Jaru,Rondônia,1100114
Ji-Paraná,Rondônia,1100122
Machadinho D'Oeste,Rondônia,1100130
Ministro Andreazza,Rondônia,1101203
Mirante da Serra,Rondônia,1101302
Monte Negro,Rondônia,1101401
Nova Brasilândia D'Oeste,Rondônia,1100148
Nova Mamoré,Rondônia,1100338
Nova União,Rondônia,1101435
Novo Horizonte do Oeste,Rondônia,1100502
Ouro Preto do Oeste,Rondônia,1100155
Parecis,Rondônia,1101450
Pimenta Bueno,Rondônia,1100189
Pimenteiras do Oeste,Rondônia,1101468
Porto Velho,Rondônia,1100205
Presidente Médici,Rondônia,1100254
Primavera de Rondônia,Rondônia,1101476
Rio Crespo,Rondônia,1100262
Rolim de Moura,Rondônia,1100288
Santa Luzia D'Oeste,Rondônia,1100296
São Felipe D'Oeste,Rondônia,1101484
São Francisco do Guaporé,Rondônia,1101492
São Miguel do Guaporé,Rondônia,1100320
Seringueiras,Rondônia,1101500
Teixeirópolis,Rondônia,1101559
Theobroma,Rondônia,1101609
Urupá,Rondônia,1101708
Vale do Anari,Rondônia,1101757
Vale do Paraíso,Rondônia,1101807
Vilhena,Rondônia,1100304
Acrelândia,Acre,1200013
Assis Brasil,Acre,1200054
Brasiléia,Acre,1200104
Bujari,Acre,1200138
Capixaba,Acre,1200179
Cruzeiro do Sul,Acre,1200203
Epitaciolândia,Acre,1200252
Feijó,Acre,1200302
Jordão,Acre,1200328
Mâncio Lima,Acre,1200336
Manoel Urbano,Acre,1200344
Marechal Thaumaturgo,Acre,1200351
Plácido de Castro,Acre,1200385
Porto Acre,Acre,1200807
Porto Walter,Acre,1200393
Rio Branco,Acre,1200401
Rodrigues Alves,Acre,1200427
Santa Rosa do Purus,Acre,1200435
Sena Madureira,Acre,1200500
Senador Guiomard,Acre,1200450
Tarauacá,Acre,1200609
Xapuri,Acre,1200708
Alvarães,Amazonas,1300029
Amaturá,Amazonas,1300060
Anamã,Amazonas,1300086
Anori,Amazonas,1300102
Apuí,Amazonas,1300144
Atalaia do Norte,Amazonas,1300201
Autazes,Amazonas,1300300
Barcelos,Amazonas,1300409
Barreirinha,Amazonas,1300508
Benjamin Constant,Amazonas,1300607
Beruri,Amazonas,1300631
Boa Vista do Ramos,Amazonas,1300680
Boca do Acre,Amazonas,1300706
Borba,Amazonas,1300805
Caapiranga,Amazonas,1300839
Canutama,Amazonas,1300904
Carauari,Amazonas,1301001
Careiro,Amazonas,1301100
Careiro da Várzea,Amazonas,1301159
Coari,Amazonas,1301209
Codajás,Amazonas,1301308
Eirunepé,Amazonas,1301407
Envira,Amazonas,1301506
Fonte Boa,Amazonas,1301605
Guajará,Amazonas,1301654
Humaitá,Amazonas,1301704
Ipixuna,Amazonas,1301803
Iranduba,Amazonas,1301852
Itacoatiara,Amazonas,1301902
Itamarati,Amazonas,1301951
Itapiranga,Amazonas,1302009
Japurá,Amazonas,1302108
Juruá,Amazonas,1302207
Jutaí,Amazonas,1302306
Lábrea,Amazonas,1302405
Manacapuru,Amazonas,1302504
Manaquiri,Amazonas,1302553
Manaus,Amazonas,1302603
Manicoré,Amazonas,1302702
Maraã,Amazonas,1302801
Maués,Amazonas,1302900
Nhamundá,Amazonas,1303007
Nova Olinda do Norte,Amazonas,1303106
Novo Airão,Amazonas,1303205
Novo Aripuanã,Amazonas,1303304
Parintins,Amazonas,1303403
Pauini,Amazonas,1303502
Presidente Figueiredo,Amazonas,1303536
Rio Preto da Eva,Amazonas,1303569
Santa Isabel do Rio Negro,Amazonas,1303601
Santo Antônio do Içá,Amazonas,1303700
São Gabriel da Cachoeira,Amazonas,1303809
São Paulo de Olivença,Amazonas,1303908
São Sebastião do Uatumã,Amazonas,1303957
Silves,Amazonas,1304005
Tabatinga,Amazonas,1304062
Tapauá,Amazonas,1304104
Tefé,Amazonas,1304203
Tonantins,Amazonas,1304237
Uarini,Amazonas,1304260
Urucará,Amazonas,1304302
Urucurituba,Amazonas,1304401
Alto Alegre,Roraima,1400050
Amajari,Roraima,1400027
Boa Vista,Roraima,1400100
Bonfim,Roraima,1400159
Cantá,Roraima,1400175
Caracaraí,Roraima,1400209
Caroebe,Roraima,1400233
Iracema,Roraima,1400282
Mucajaí,Roraima,1400308
Normandia,Roraima,1400407
Pacaraima,Roraima,1400456
Rorainópolis,Roraima,1400472
São João da Baliza,Roraima,1400506
São Luiz,Roraima,1400605
Uiramutã,Roraima,1400704
Abaetetuba,Pará,1500107
Abel Figueiredo,Pará,1500131
Acará,Pará,1500206
Afuá,Pará,1500305
Água Azul do Norte,Pará,1500347
